ticket,threshold,precision_target_1,recall_target_1,f1_target_1
ticket_4,0.2,0.4937205651491366,0.9603053435114504,0.6521513737687922
ticket_4,0.21,0.49681020733652315,0.9511450381679389,0.6526977475117863
ticket_4,0.22,0.5085995085995086,0.9480916030534351,0.662046908315565
ticket_4,0.23,0.5225148683092609,0.9389312977099237,0.6713973799126638
ticket_4,0.24,0.5299219427580225,0.932824427480916,0.6758849557522124
ticket_4,0.25,0.5380530973451327,0.9282442748091603,0.6812324929971989
ticket_4,0.26,0.5449591280653951,0.916030534351145,0.683371298405467
ticket_4,0.27,0.5534883720930233,0.9083969465648855,0.6878612716763006
ticket_4,0.28,0.5575642245480494,0.8946564885496183,0.6869871043376319
ticket_4,0.29,0.5658914728682171,0.8916030534351145,0.6923532898636633
ticket_4,0.3,0.5776892430278885,0.8854961832061069,0.6992163954189271
ticket_4,0.31,0.5844421699078812,0.8717557251908397,0.6997549019607843
ticket_4,0.32,0.5997876857749469,0.8625954198473282,0.7075767063243582
ticket_4,0.33,0.6140350877192983,0.8549618320610687,0.7147415443522654
ticket_4,0.34,0.6225988700564972,0.8412213740458016,0.7155844155844155
ticket_4,0.35,0.6345707656612529,0.8351145038167939,0.7211601845748187
ticket_4,0.36,0.6453143534994069,0.8305343511450382,0.7263017356475301
ticket_4,0.37,0.6549210206561361,0.8229007633587786,0.7293640054127198
ticket_4,0.38,0.6600985221674877,0.8183206106870229,0.7307430129516019
ticket_4,0.39,0.675224646983312,0.8030534351145038,0.7336122733612274
ticket_4,0.4,0.6854521625163827,0.7984732824427481,0.7376586741889986
ticket_4,0.41,0.6982408660351827,0.7877862595419848,0.7403156384505022
ticket_4,0.42,0.7076923076923077,0.7725190839694657,0.7386861313868613
ticket_4,0.43,0.723589001447178,0.7633587786259542,0.7429420505200595
ticket_4,0.44,0.7402985074626866,0.7572519083969466,0.7486792452830189
ticket_4,0.45,0.749613601236476,0.7404580152671756,0.7450076804915514
ticket_4,0.46,0.7579113924050633,0.7312977099236642,0.7443667443667443
ticket_4,0.47,0.7770491803278688,0.7236641221374046,0.7494071146245059
ticket_4,0.48,0.7813021702838063,0.7145038167938931,0.7464114832535885
ticket_4,0.49,0.7843803056027164,0.7053435114503817,0.7427652733118971
ticket_4,0.5,0.7909407665505227,0.6931297709923664,0.7388120423108218
ticket_4,0.51,0.7967914438502673,0.6824427480916031,0.7351973684210527
ticket_4,0.52,0.8051001821493625,0.6748091603053435,0.7342192691029901
ticket_4,0.53,0.8093457943925234,0.6610687022900763,0.7277310924369748
ticket_4,0.54,0.8197674418604651,0.6458015267175573,0.7224594363791631
ticket_4,0.55,0.8244575936883629,0.6381679389312978,0.7194492254733219
ticket_4,0.56,0.8249496981891348,0.6259541984732825,0.7118055555555556
ticket_4,0.57,0.8333333333333334,0.6106870229007634,0.7048458149779736
ticket_4,0.58,0.8461538461538461,0.6045801526717557,0.705253784505788
ticket_4,0.59,0.8520971302428256,0.5893129770992367,0.6967509025270758
ticket_4,0.6,0.8709677419354839,0.5770992366412214,0.6942148760330579
ticket_4,0.61,0.8794326241134752,0.5679389312977099,0.6901669758812616
ticket_4,0.62,0.8858560794044665,0.5450381679389313,0.6748582230623819
ticket_4,0.63,0.8969072164948454,0.5312977099236641,0.6673058485139022
ticket_4,0.64,0.9074074074074074,0.5236641221374045,0.6640851887705711
ticket_4,0.65,0.9123287671232877,0.5083969465648855,0.6529411764705882
ticket_4,0.66,0.9135446685878963,0.48396946564885496,0.6327345309381237
ticket_4,0.67,0.9161676646706587,0.467175572519084,0.6188068756319515
ticket_4,0.68,0.9216300940438872,0.4488549618320611,0.6036960985626283
ticket_4,0.69,0.9344262295081968,0.4351145038167939,0.59375
ticket_4,0.7,0.9337979094076655,0.40916030534351144,0.5690021231422505
ticket_4,0.71,0.9388489208633094,0.3984732824427481,0.5594855305466238
ticket_4,0.72,0.9540229885057471,0.3801526717557252,0.5436681222707423
ticket_4,0.73,0.9516129032258065,0.3603053435114504,0.5227021040974529
ticket_4,0.74,0.9617021276595744,0.3450381679389313,0.5078651685393258
ticket_4,0.75,0.963963963963964,0.3267175572519084,0.4880273660205245
ticket_4,0.76,0.9674418604651163,0.31755725190839695,0.4781609195402299
ticket_4,0.77,0.966183574879227,0.3053435114503817,0.46403712296983757
ticket_4,0.78,0.9690721649484536,0.2870229007633588,0.44287396937573614
ticket_4,0.79,0.9833333333333333,0.27022900763358776,0.4239520958083832
ticket_4,0.8,0.9871794871794872,0.23511450381679388,0.3797780517879161
