probe,single_factor,dev_precision_target_1,dev_recall_target_1,dev_f1_target_1,heldout_precision_target_1,heldout_recall_target_1,heldout_f1_target_1,dev_delta_from_baseline,heldout_delta_from_baseline,converged
submitted_baseline,reference,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
unigrams_only,ngram_range,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
tfidf_word_bigrams,ngram_range,0.7758620689655172,0.6870229007633588,0.728744939271255,0.7705479452054794,0.6880733944954128,0.7269789983844911,-0.010067103039566705,-0.022206669367951903,True
trigrams_added,ngram_range,0.7627986348122867,0.6824427480916031,0.7203867848509267,0.7542087542087542,0.6850152905198776,0.717948717948718,-0.018425257459895095,-0.031236949803725045,True
no_sublinear_tf,sublinear_tf,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
max_features_20000,max_features,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
max_features_unbounded,max_features,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
min_df_2,min_df,0.8210332103321033,0.6793893129770993,0.7435254803675856,0.8257713248638838,0.6957186544342507,0.7551867219917012,0.00471343805676383,0.00600105423925823,True
min_df_3,min_df,0.8158844765342961,0.6900763358778625,0.7477253928866832,0.8242753623188406,0.6957186544342507,0.7545605306799337,0.0089133505758614,0.005374862927490676,True
min_df_5,min_df,0.8137432188065099,0.6870229007633588,0.7450331125827815,0.8142857142857143,0.6972477064220184,0.7512355848434926,0.006221070271959728,0.0020499170910496245,True
max_df_0_9,max_df,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
no_idf,use_idf,0.7716262975778547,0.6809160305343511,0.7234387672343877,0.7735849056603774,0.6896024464831805,0.7291835084882781,-0.015373275076434045,-0.02000215926416493,True
no_smooth_idf,smooth_idf,0.7923211169284468,0.6931297709923664,0.739413680781759,0.8017543859649123,0.6987767584097859,0.7467320261437909,0.0006016384709371936,-0.002453641608652135,True
l1_normalization,norm,0.8172043010752689,0.46412213740458014,0.5920155793573515,0.8213333333333334,0.4709480122324159,0.5986394557823129,-0.14679646295347026,-0.15054621197013007,True
no_vector_normalization,norm,0.7814685314685315,0.6824427480916031,0.7286063569682152,0.7963272120200334,0.7293577981651376,0.7613727055067837,-0.010205685342606574,0.012187037754340713,True
unicode_accents,strip_accents,0.7905759162303665,0.6916030534351145,0.737785016286645,0.8013937282229965,0.7033639143730887,0.749185667752443,-0.0010270260241768137,0.0,True
single_character_tokens,token_pattern,0.7869415807560137,0.6992366412213741,0.740501212611156,0.7866894197952219,0.7048929663608563,0.7435483870967742,0.0016891703003342196,-0.005637280655668819,True
tfidf_lowercase_false,lowercase,0.7893805309734513,0.6809160305343511,0.7311475409836066,0.7758318739054291,0.6773700305810397,0.723265306122449,-0.00766450132721519,-0.025920361629994004,True
c_0_1,C,0.848404255319149,0.4870229007633588,0.6188166828322017,0.8455497382198953,0.4938837920489297,0.6235521235521235,-0.11999535947862006,-0.12563354420031947,True
c_0_25,C,0.8111332007952287,0.6229007633587786,0.7046632124352331,0.8101010101010101,0.6131498470948012,0.6979982593559617,-0.03414882987558865,-0.05118740839648128,True
c_0_5,C,0.7913669064748201,0.6717557251908397,0.726672171758877,0.7944954128440367,0.6620795107033639,0.7222685571309424,-0.012139870551944765,-0.026917110621500595,True
c_2,C,0.7938671209540034,0.7114503816793893,0.750402576489533,0.7970049916805324,0.7324159021406728,0.7633466135458168,0.011590534178711254,0.014160945793373791,True
c_4,C,0.7865546218487395,0.7145038167938931,0.7488,0.7901639344262295,0.7370030581039755,0.7626582278481012,0.009987957689178262,0.013472560095658226,True
c_10,C,0.7777777777777778,0.716030534351145,0.7456279809220986,0.7774244833068362,0.7477064220183486,0.7622759158222915,0.006815938611276828,0.013090248069848487,True
balanced_classes,class_weight,0.7469879518072289,0.7572519083969466,0.7520849128127369,0.7443609022556391,0.7568807339449541,0.7505686125852918,0.013272870501915168,0.0013829448328488425,True
logreg_solver_liblinear,solver,0.7905759162303665,0.6916030534351145,0.737785016286645,0.8,0.7033639143730887,0.7485760781122864,-0.0010270260241768137,-0.0006095896401565604,True
lbfgs_solver,solver,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
logreg_max_iter_1000,max_iter,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
seed_1,random_state,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
seed_42,random_state,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
logreg_seed_9999,random_state,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
logreg_explicit_l2,penalty,0.7909407665505227,0.6931297709923664,0.7388120423108218,0.8013937282229965,0.7033639143730887,0.749185667752443,0.0,0.0,True
leaky_tfidf_train_plus_dev,data_leakage,0.8320158102766798,0.6427480916030535,0.7252368647717485,0.8382066276803118,0.6574923547400612,0.7369323050556984,-0.013575177539073224,-0.012253362696744596,True
