ticket,threshold,precision_target_1,recall_target_1,f1_target_1,tp,fp,tn,fn,predicted_positive_count
ticket-4,0.76,0.956989247312,0.271755725191,0.423305588585,178,8,860,477,186
ticket-4,0.77,0.964285714286,0.247328244275,0.393681652491,162,6,862,493,168
ticket-4,0.78,0.973684210526,0.225954198473,0.366790582404,148,4,864,507,152
ticket-4,0.79,0.971428571429,0.207633587786,0.34213836478,136,4,864,519,140
ticket-4,0.8,0.96694214876,0.178625954198,0.301546391753,117,4,864,538,121
ticket-4,0.81,0.980769230769,0.15572519084,0.268774703557,102,2,866,553,104
ticket-4,0.82,0.988888888889,0.135877862595,0.238926174497,89,1,867,566,90
ticket-4,0.83,0.988235294118,0.128244274809,0.227027027027,84,1,867,571,85
ticket-4,0.84,0.987012987013,0.116030534351,0.207650273224,76,1,867,579,77
ticket-4,0.85,1,0.100763358779,0.183079056865,66,0,868,589,66
ticket-4,0.86,1,0.0854961832061,0.157524613221,56,0,868,599,56
ticket-4,0.87,1,0.0641221374046,0.120516499283,42,0,868,613,42
ticket-4,0.88,1,0.0610687022901,0.115107913669,40,0,868,615,40
ticket-4,0.89,1,0.0412213740458,0.0791788856305,27,0,868,628,27
ticket-4,0.9,1,0.030534351145,0.0592592592593,20,0,868,635,20
