feature_mode,dev_precision_target_1,dev_recall_target_1,dev_f1_target_1,dev_delta_from_text,selected,rank
text,0.780068728522,0.693129770992,0.734033953112,0,True,1
text+numeric,0.786971830986,0.682442748092,0.730989370401,-0.00304458271171,False,2
text+keyword,0.747126436782,0.69465648855,0.719936708861,-0.0140972442516,False,3
keyword+location,0.675039246468,0.656488549618,0.665634674923,-0.0683992781898,False,4
keyword,0.679611650485,0.641221374046,0.659858601728,-0.0741753513842,False,5
numeric,0.616326530612,0.46106870229,0.527510917031,-0.206523036082,False,6
location,0.579439252336,0.0946564885496,0.162729658793,-0.57130429432,False,7
