candidate,dev_precision_target_1,dev_recall_target_1,dev_f1_target_1,dev_delta_from_raw,selected,rank
url_replace,0.810218978102,0.67786259542,0.738154613466,0.00412066035397,True,1
hashtag_remove,0.775337837838,0.700763358779,0.736166800321,0.0021328472084,False,2
url_remove,0.833333333333,0.656488549618,0.734415029889,0.000381076776615,False,3
emoji_remove,0.780068728522,0.693129770992,0.734033953112,0,False,4
emoji_replace,0.780068728522,0.693129770992,0.734033953112,0,False,4
hashtag_strip,0.780068728522,0.693129770992,0.734033953112,0,False,4
punct_remove,0.780068728522,0.693129770992,0.734033953112,0,False,4
punct_repeat,0.780068728522,0.693129770992,0.734033953112,0,False,4
raw,0.780068728522,0.693129770992,0.734033953112,0,False,4
mention_replace,0.780656303972,0.690076335878,0.732576985413,-0.00145696769908,False,10
mention_remove,0.774744027304,0.693129770992,0.73166800967,-0.00236594344275,False,11
preserve_case,0.758503401361,0.680916030534,0.717618664521,-0.016415288591,False,12
